unix_time_s,voltage_a0,voltage_a3
1776087246.192347,1.788700,1.020600
1776087246.196163,1.366100,1.014200
1776087246.198915,1.125900,1.000700
1776087246.203623,1.619700,1.008700
1776087246.208640,1.768600,1.012900
1776087246.213620,1.348700,1.006200
1776087246.218615,1.113000,0.996500
1776087246.223617,1.610200,1.006500
1776087246.228626,1.767400,1.011400
1776087246.233625,1.350200,1.005300
1776087246.239120,1.120100,0.995800
1776087246.245868,1.617500,1.006200
1776087246.249104,1.781700,1.018400
1776087246.255893,1.363900,1.012300
1776087246.258607,1.135300,1.000400
1776087246.263612,1.632500,1.009000
1776087246.268594,1.798500,1.020300
1776087246.273598,1.375800,1.013600
1776087246.278609,1.145400,1.001300
1776087246.283608,1.641300,1.009600
1776087246.290522,1.809200,1.020900
1776087246.296601,1.387400,1.014200
1776087246.299566,1.161900,1.001600
1776087246.303624,1.654500,1.009900
1776087246.308622,1.829000,1.020900
1776087246.313623,1.402700,1.014200
1776087246.318617,1.178700,1.002300
1776087246.323656,1.669400,1.010200
1776087246.328623,1.848900,1.021800
1776087246.333642,1.421300,1.014800
1776087246.339109,1.198500,1.002900
1776087246.346372,1.686800,1.010500
1776087246.349316,1.866300,1.021800
1776087246.353618,1.435300,1.015400
1776087246.358621,1.213100,1.002900
1776087246.363661,1.696900,1.010200
1776087246.368617,1.878500,1.022400
1776087246.373616,1.444800,1.014800
1776087246.378632,1.218600,1.002600
1776087246.383618,1.702700,1.010500
1776087246.389053,1.886400,1.022700
1776087246.395663,1.452400,1.014800
1776087246.399389,1.228700,1.002600
1776087246.403616,1.712400,1.011100
1776087246.408625,1.898300,1.022700
1776087246.413617,1.464000,1.015400
1776087246.418630,1.240000,1.003500
1776087246.423632,1.720400,1.011100
1776087246.428625,1.899800,1.022700
1776087246.433624,1.463100,1.015400
1776087246.442193,1.231200,1.002600
1776087246.445922,1.708200,1.010500
1776087246.448754,1.880300,1.022400
1776087246.453649,1.444800,1.014800
1776087246.458619,1.211600,1.002900
