unix_time_s,voltage_a0,voltage_a3
1775750044.026700,1.016600,0.946100
1775750044.031689,1.623300,0.975100
1775750044.038697,1.573600,0.991900
1775750044.043879,1.848300,1.015400
1775750044.046724,2.474500,1.040100
1775750044.051697,3.018400,1.067000
1775750044.056728,3.421200,1.099600
1775750044.061707,3.689200,1.122800
1775750044.066693,3.864400,1.142300
1775750044.071700,3.978500,1.159100
1775750044.076690,4.046300,1.173500
1775750044.081689,4.079200,1.181700
1775750044.088908,4.088700,1.185400
1775750044.093790,4.078600,1.185700
1775750044.096808,4.058500,1.188400
1775750044.101699,4.034400,1.190900
1775750044.106695,3.997400,1.189300
1775750044.111686,3.959300,1.187500
1775750044.116702,3.919900,1.182900
1775750044.121700,3.879000,1.181400
1775750044.126701,3.836300,1.178100
1775750044.131684,3.792700,1.174700
1775750044.143540,3.750200,1.175300
1775750044.144800,3.708700,1.176200
1775750044.146758,3.666000,1.166800
1775750044.151692,3.624800,1.157300
1775750044.156797,3.589700,1.153300
1775750044.161691,3.556100,1.152100
1775750044.166686,3.518900,1.149700
1775750044.171685,3.482900,1.145400
1775750044.176685,3.445000,1.143300
1775750044.181685,3.407200,1.141100
1775750044.190447,3.368400,1.137500
1775750044.193886,3.329100,1.133800
1775750044.196701,3.291200,1.134100
1775750044.201698,3.253700,1.134700
1775750044.206695,3.214900,1.132600
1775750044.211697,3.176800,1.122800
1775750044.216700,3.140800,1.116700
1775750044.221691,3.106300,1.114600
1775750044.226694,3.069000,1.110000
1775750044.231687,3.033300,1.106000
1775750044.239238,2.998800,1.106000
1775750044.244914,2.966500,1.106600
1775750044.246693,2.932600,1.104800
1775750044.251687,2.899000,1.097500
1775750044.256691,2.867900,1.095600
1775750044.261687,2.835300,1.095000
1775750044.266702,2.806900,1.092600
1775750044.271700,2.776700,1.089800
1775750044.276699,2.746700,1.090200
1775750044.281686,2.716200,1.091400
1775750044.290163,2.688200,1.081900
1775750044.293692,2.657600,1.073400
1775750044.296923,2.627700,1.070600
1775750044.303864,2.600000,1.069700
1775750044.306698,2.571300,1.066000
1775750044.311681,2.544100,1.062700
1775750044.316691,2.517900,1.063000
1775750044.321681,2.491000,1.063600
1775750044.326669,2.464100,1.062400
1775750044.331674,2.439700,1.067900
1775750044.340449,2.417100,1.077600
1775750044.344163,2.392400,1.083700
1775750044.346746,2.367700,1.085900
1775750044.351678,2.344200,1.085300
1775750044.356679,2.201400,1.078600
1775750044.361691,1.865000,1.064800
1775750044.366698,1.567800,1.044700
1775750044.371688,1.332500,1.025100
1775750044.376686,1.161900,1.006800
1775750044.381691,1.039200,0.991600
1775750044.389199,0.948200,0.977800
1775750044.394093,0.884500,0.968700
1775750044.396700,0.840500,0.958600
1775750044.401698,0.808200,0.951000
1775750044.406687,0.785600,0.943400
1775750044.411698,0.767600,0.938200
1775750044.416684,0.755100,0.937300
1775750044.421684,0.746800,0.937300
1775750044.426700,0.743100,0.935400
1775750044.431685,0.738000,0.933900
1775750044.439227,0.734300,0.934500
1775750044.444926,0.731200,0.936300
1775750044.446724,0.727300,0.934200
1775750044.451704,0.725800,0.932400
1775750044.456764,0.724500,0.933600
1775750044.461687,0.723600,0.935400
1775750044.466699,0.721200,0.934200
1775750044.471699,0.720600,0.932400
1775750044.476704,0.720600,0.933300
1775750044.481699,0.720000,0.934500
1775750044.490336,0.718400,0.933900
1775750044.493852,0.717500,0.931800
1775750044.496703,0.717500,0.933000
1775750044.501689,0.716300,0.934800
1775750044.506774,0.717200,0.933600
1775750044.511687,0.716000,0.932100
1775750044.516695,0.716300,0.933300
1775750044.521685,0.715100,0.934800
1775750044.526704,0.715100,0.933900
1775750044.531696,0.714500,0.931500
1775750044.538787,0.714500,0.932700
1775750044.543848,0.713800,0.934800
1775750044.546842,0.713500,0.933300
1775750044.551694,0.713800,0.931800
1775750044.556700,0.713800,0.932700
1775750044.561688,0.712600,0.935400
1775750044.566692,0.713800,0.933900
1775750044.571687,0.712600,0.932100
1775750044.576686,0.713200,0.933300
1775750044.581692,0.713200,0.935400
1775750044.589667,0.712600,0.933600
1775750044.593928,0.712000,0.932400
1775750044.597164,0.712600,0.933600
1775750044.601693,0.712000,0.934800
1775750044.606697,0.712300,0.933900
1775750044.611697,0.711400,0.931500
1775750044.616694,0.712000,0.933000
1775750044.621688,0.711700,0.934800
1775750044.626692,0.711400,0.933900
1775750044.631695,0.711100,0.931800
1775750044.638750,0.711100,0.933000
1775750044.643865,0.711400,0.935100
1775750044.646855,0.711100,0.933900
1775750044.651712,0.709600,0.931800
1775750044.656767,0.710500,0.933300
1775750044.661679,0.711100,0.934800
1775750044.666693,0.710200,0.933900
1775750044.671690,0.710200,0.931800
1775750044.676687,0.710200,0.933600
1775750044.681690,0.710200,0.935400
1775750044.689192,0.710200,0.933300
1775750044.694233,0.710200,0.931800
1775750044.696683,0.710200,0.933300
1775750044.701683,0.710200,0.935100
1775750044.706683,0.709900,0.933600
1775750044.711686,0.709000,0.931800
1775750044.716687,0.710200,0.933000
1775750044.721681,0.710200,0.934800
1775750044.727862,0.709600,0.933600
1775750044.731808,0.709600,0.931800
1775750044.740212,0.709900,0.933000
1775750044.754222,0.709600,0.934800
1775750044.754304,0.709000,0.933600
1775750044.754389,0.709000,0.931800
1775750044.757920,0.708700,0.932700
1775750044.762245,0.709600,0.934800
1775750044.766707,0.709000,0.933900
1775750044.772760,0.710200,0.931800
1775750044.776720,0.709000,0.933900
1775750044.781771,0.708400,0.934800
1775750044.796400,0.709000,0.933600
1775750044.796921,0.709600,0.931500
1775750044.797437,0.708700,0.933300
1775750044.801710,0.708400,0.935100
1775750044.806717,0.708700,0.933300
1775750044.811705,0.707700,0.932100
1775750044.816690,0.708700,0.933300
1775750044.821705,0.708400,0.934800
1775750044.826705,0.708400,0.933900
1775750044.832159,0.706500,0.931800
1775750044.849590,0.709000,0.933300
1775750044.852071,0.707700,0.934800
1775750044.852172,0.709000,0.933600
1775750044.852301,0.707400,0.932100
1775750044.858584,0.707100,0.933000
1775750044.862126,0.707700,0.934800
1775750044.866709,0.708400,0.933900
1775750044.871682,0.707400,0.931800
1775750044.876690,0.707700,0.933000
1775750044.881709,0.707700,0.935100
1775750044.901181,0.707700,0.933900
1775750044.901266,0.707400,0.931800
1775750044.901336,0.707700,0.933000
1775750044.907060,0.707700,0.934800
1775750044.907149,0.707400,0.933600
1775750044.918244,0.707400,0.931800
1775750044.918328,0.707700,0.933300
1775750044.947016,0.707400,0.935100
1775750044.947523,0.706500,0.933600
1775750044.947810,0.707100,0.931800
1775750044.948125,0.706500,0.933300
1775750044.948812,0.707400,0.935100
1775750044.950720,0.707400,0.933900
1775750044.951703,0.706800,0.932400
1775750044.957839,0.707700,0.932700
1775750044.982636,0.707700,0.934800
1775750044.982719,0.706500,0.933600
1775750044.982788,0.706500,0.931800
1775750044.982855,0.706800,0.933000
1775750044.982922,0.707100,0.934800
1775750045.000038,0.706500,0.933900
1775750045.000123,0.708400,0.931800
1775750045.000193,0.707100,0.933300
1775750045.001794,0.706500,0.934800
1775750045.010520,0.707100,0.933600
1775750045.011718,0.705300,0.932100
1775750045.016705,0.707100,0.933000
1775750045.021695,0.707400,0.934500
1775750045.026700,0.705900,0.933600
1775750045.031705,0.706200,0.932100
1775750045.039410,0.706500,0.933300
1775750045.050640,0.706200,0.935100
1775750045.050726,0.706500,0.933600
1775750045.051755,0.706200,0.931800
1775750045.058945,0.706200,0.933600
1775750045.061849,0.707100,0.934800
1775750045.066704,0.706500,0.933600
1775750045.071703,0.706200,0.931800
1775750045.076689,0.705900,0.933000
1775750045.081709,0.706500,0.935100
1775750045.097944,0.706200,0.933900
1775750045.100960,0.705900,0.932100
1775750045.101040,0.705600,0.933000
1775750045.102377,0.707100,0.935100
1775750045.109518,0.706200,0.933600
1775750045.111711,0.706200,0.932100
1775750045.116698,0.706800,0.933300
1775750045.121711,0.705300,0.934800
1775750045.126733,0.705300,0.933300
1775750045.131694,0.705600,0.932100
1775750045.139788,0.706500,0.933000
1775750045.150933,0.707100,0.934800
1775750045.151018,0.705900,0.933900
1775750045.151842,0.706500,0.931500
1775750045.159595,0.705900,0.933600
